id,backend,frontEnd,cv,Entrevista
59.0,5.0,5.6,3.0,1.0
60.0,3.1,4.4,2.0,3.0
61.0,1.7,6.6,3.0,2.0
62.0,7.0,7.8,3.0,0.0
63.0,5.7,8.1,1.0,0.0
64.0,9.3,5.8,0.0,3.0
65.0,3.3,3.1,2.0,3.0
66.0,6.9,8.6,5.0,1.0
67.0,5.3,6.3,5.0,1.0
68.0,2.8,2.0,5.0,2.0
69.0,8.2,2.1,0.0,3.0
70.0,4.3,7.9,1.0,2.0
71.0,9.0,3.3,3.0,0.0
72.0,0.6,7.3,3.0,3.0
73.0,4.2,5.6,2.0,2.0
74.0,4.7,3.8,1.0,2.0
75.0,1.7,6.9,0.0,2.0
76.0,0.4,9.0,0.0,1.0
77.0,5.2,0.5,0.0,2.0
78.0,9.7,8.5,1.0,2.0
79.0,1.3,2.4,3.0,1.0
80.0,4.9,2.2,4.0,0.0
81.0,1.1,9.5,5.0,2.0
82.0,5.6,0.0,3.0,2.0
83.0,3.4,5.0,1.0,1.0
84.0,2.1,6.3,1.0,1.0
85.0,8.1,2.2,0.0,2.0
86.0,7.1,6.7,3.0,0.0
87.0,5.5,1.2,5.0,1.0
88.0,10.0,2.8,3.0,2.0
89.0,5.5,5.6,3.0,2.0
90.0,4.2,6.2,5.0,0.0
91.0,0.6,2.4,3.0,0.0
92.0,3.0,6.7,0.0,3.0
93.0,4.8,3.2,3.0,1.0
94.0,10.0,8.4,1.0,1.0
95.0,2.3,8.9,1.0,0.0
96.0,0.8,2.2,4.0,0.0
97.0,2.9,4.8,4.0,1.0
98.0,6.5,5.8,1.0,2.0
99.0,9.2,1.3,2.0,1.0
100.0,6.2,8.6,0.0,3.0
101.0,2.0,4.5,5.0,3.0
102.0,2.6,4.2,5.0,3.0
103.0,3.0,7.6,1.0,2.0
104.0,4.4,9.2,2.0,0.0
105.0,5.8,5.2,1.0,0.0
106.0,4.9,6.3,2.0,2.0
107.0,1.1,5.5,0.0,0.0
108.0,9.5,4.8,3.0,1.0
109.0,5.6,4.7,4.0,2.0
110.0,3.4,0.3,3.0,3.0
111.0,0.9,6.7,3.0,0.0
112.0,1.1,7.1,4.0,3.0
113.0,1.1,4.2,4.0,0.0
114.0,0.5,5.9,0.0,1.0
115.0,8.7,7.7,2.0,1.0
116.0,2.4,1.8,0.0,2.0
117.0,2.2,7.5,1.0,2.0
118.0,7.1,8.9,3.0,3.0
119.0,4.5,2.7,5.0,3.0
120.0,4.3,9.1,1.0,1.0
121.0,9.6,0.5,5.0,1.0
122.0,0.8,9.4,2.0,0.0
123.0,0.6,1.1,5.0,2.0
124.0,3.3,3.1,1.0,3.0
125.0,8.7,5.4,0.0,1.0
126.0,5.9,5.2,1.0,0.0
127.0,5.9,5.2,3.0,0.0
128.0,1.3,9.2,4.0,1.0
129.0,5.3,7.6,0.0,2.0
130.0,1.9,6.4,5.0,1.0
131.0,7.1,2.2,1.0,1.0
132.0,9.4,5.3,5.0,0.0
133.0,0.7,8.7,1.0,2.0
134.0,8.5,10.0,3.0,2.0
135.0,9.2,6.9,2.0,2.0
136.0,0.1,0.0,3.0,0.0
137.0,5.7,1.5,3.0,1.0
138.0,8.5,2.4,5.0,0.0
139.0,7.3,2.9,3.0,3.0
140.0,7.0,2.8,5.0,0.0
141.0,6.8,2.3,0.0,3.0
142.0,4.2,5.8,2.0,0.0
143.0,1.0,9.1,4.0,2.0
144.0,4.1,4.1,5.0,2.0
145.0,0.9,3.9,3.0,3.0
146.0,3.7,5.3,0.0,1.0
147.0,2.1,9.5,4.0,1.0
148.0,6.6,4.3,4.0,0.0
149.0,9.7,2.8,4.0,2.0
150.0,0.9,5.7,1.0,3.0
